year, jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec, annual
1970, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9
1971, 12.42, 13.75, 54.29, 5.74, 6.45, 5.46, 15.17, 3.23, 45.89, 9.61, 15.6, 12.83, 16.71
1972, 0, 0, 6.45, 23.33, 90.25, 95.53, 93.55, 15.92, 75.18, 38.16, 6.67, 12.35, 38.3
1973, 15.72, 0, 32.12, 25.6, 19.01, 6.67, 9.68, 3.23, 16.67, 12.7, 33.12, 35.48, 17.61
1974, 12.9, 0, 9.33, 16.67, 6.45, 0, 3.16, 3.23, 3.33, 69.05, 26.67, 25.81, 14.87
1975, 25.39, 0, 9.68, 12.84, 12.42, 15.53, 6.45, 12.9, 3.33, 22.51, 26.67, 22.51, 14.3
1976, 0, 0, 28.37, -99.9, 0, 10.27, 12.9, 61.91, 24.18, 16.13, 0, 12.9, -99.9
1977, 10, 0, 6.45, 19.57, 12.77, 3.33, 9.68, 29.03, 33.12, 0, 0, 12.9, 11.47
1978, 0, 20.97, 0, 20, 21.83, 32.62, 27.15, 44.75, 12.41, 12.56, 16.67, 28.53, 19.77
1979, 39.57, 3.04, 0, 26.31, 6.18, 12.13, 23.12, 31.71, 16.38, 10.71, -99.9, 0, -99.9
1980, 18.74, 3.45, 0, 16.31, 28.83, 20, 12.83, 9.68, 10, 12.5, 26.09, 28.41, 15.65
1981, 6.38, 14.06, 6.45, 13.33, 13.19, 29.79, 21.99, 12.83, 6.67, 0, -99.9, 9.68, -99.9
1982, 29.03, 39.29, 24.91, 29.57, 16.13, 2.55, 12.01, 12.9, 3.45, 6.45, 18.79, 6.45, 16.65
1983, 15.51, 28.27, 6.31, 3.33, 22.17, 25.67, 3.23, 22.1, 0, 9.68, 24.14, 18.53, 14.82
1984, 0, 24.14, -99.9, 4.76, 28.55, 3.33, 12.15, 12.08, 3.33, 3.23, 12.13, 6.45, -99.9
1985, 53.33, 14.29, 15.85, 6.67, 12.77, 12.41, 0, 0, 3.33, 5.97, 22.98, 11.87, 13.3
1986, 0, 31.38, 6.45, 6.67, 0, 19.5, 16.13, 0, 3.33, 0, 53.33, 35.48, 14.15
1987, 76.66, 41.87, 63.83, 23.19, 45.09, 30, 22.51, 16.13, 13.33, 19.15, 13.33, 6.38, 30.99
1988, 0, 0, 0, 3.33, 3.09, 3.33, 0, 0, 6.67, 0, 23.33, 3.19, 3.55
1989, 25.81, 6.69, 0, 0, 3.23, 3.33, 15.72, 15.51, 16.6, 12.9, 12.91, 15.85, 10.77
1990, 6.45, 7.14, 3.33, 3.33, 0, 0, 9.68, 6.45, 3.33, 3.23, 8.79, 2.2, 4.48
1991, 0, 53.34, 6.67, 23.33, 33.49, 3.33, 0, 0, 0, 12.9, 19.65, 15.92, 13.76
1992, 15.31, 0, 6.45, 6.67, 0, 0, 3.23, 0, 0, 9.68, 0, 0, 3.49
1993, 0, 0, 6.11, 0, 0, 0, 6.11, 3.09, 3.33, 6.45, 23.05, 3.33, 4.3
1994, 0, 14.29, 0, 16.67, 0, 13.33, 3.23, 0, 13.33, 12.77, 0, 0, 6.02
1995, 0, 0, 3.09, 11.7, 6.45, 6.67, 0, 6.45, 0, 0, 3.26, 9.47, 3.94
1996, 3.23, 10.34, 15.58, 10, 3.23, 10, 0, 3.23, 19.29, 2.13, 3.33, 12.9, 7.75
1997, 6.45, 3.5, 0, 10, 3.23, 10, 0, 3.23, 0, 16.13, 3.12, 6.45, 5.18
1998, 6.38, 3.57, 19.22, 3.26, 10.71, 3.33, 8.85, 9.68, 10, 3.23, 23.33, 16.13, 9.86
1999, 5.49, 14.29, 6.38, 2.41, 0, 6.67, 3.16, 6.45, 0, 16.13, 9.86, 9.68, 6.67
2000, 6.45, 0, 2.33, 6.67, 0, 0, 12.9, 8.24, 0, 6.45, 0, 6.45, 4.19
2001, 6.45, 0, 0, 6.52, 3.45, 0, 3.23, 3.45, 22.91, 0, 16.49, 18.67, -99.9
2002, 6.45, 6.99, 3.23, 22.34, 0, 3.33, 6.45, 9.27, 20, 6.38, 3.19, 9.54, 8.06
2003, 0, 0, 3.23, 18.79, 0, 0, 0, 0, 6.45, 25.53, 0, 0, 4.52
2004, 12.83, 3.3, 9.47, 6.67, 6.38, 2.41, 6.04, 0, 0, 13.26, 9.79, 0, 5.89
2005, 6.45, 20.97, 18.33, 10, 3.23, 9.93, 11.87, 24.91, 9.57, 9.54, 6.67, 3.09, 11.16
2006, 22.51, 0, 22.58, 0, 9.47, 25.82, 0, 19.35, 0, 0, 0, 3.23, 8.67
2007, 0, 0, 9.68, 0, 3.23, 3.33, 3.23, 22.44, 13.33, 12.83, 2.91, 6.04, 6.49
2008, 0, 3.45, 0, 0, 3.23, 10, 6.45, 0, 26.52, 3.23, 3.33, 2.2, 4.83
2009, 6.45, 0, 6.45, 3.26, 0, 16.45, 3.23, 0, 3.33, 16.13, 0, 19.35, 6.28
2010, 28.76, 6.38, 19.15, 11.99, 6.18, 6.67, 6.45, 15.37, 5.67, 12.83, 0, 18.19, 11.57
2011, 0, 0, 9.68, 0, 0, 0, 18.53, 2.47, 0, 9.68, 6.67, 0, 3.98
2012, 6.45, 54.73, 0, 3.33, 6.38, 0, 3.23, 0, 3.33, 3.23, 0, 6.45, 7.08
2013, 0, 10.71, 24.98, 13.33, 12.9, 13.33, 0, 3.23, 0, 18.33, 0, 0, 8.06
2014, 0, 0, 3.23, 3.33, 3.02, 3.26, 24.91, 12.08, 16.67, 0, 0, 0, 5.58
2015, 0, 0, 0, 9.01, 11.87, 0, 0, 12.77, 3.33, 5.63, 0, 0, 3.58
2016, 0, 0, 0, 6.67, 3.23, 5.89, 6.45, 9.68, 0, 15.24, 3.26, 5.9, 4.74
2017, 0, 0, 0, 3.33, 3.23, 0, 0, 0, 16.67, 3.23, 0, 0, 2.19
2018, 0, 17.63, 35.14, 0, 0, 6.67, 0, 3.23, 3.33, 0, 0, 8.1, 6.12
2019, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9
